,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
114,Jamestown,AU,1547940853,63.51,-33.21,138.6,77,92,6.42
117,Guerrero Negro,MX,1547940860,77.42,27.97,-114.04,31,0,8.66
118,Lancaster,US,1547940480,33.98,40.04,-76.31,81,90,8.05
119,Beringovskiy,RU,1547940865,2.27,63.05,179.32,100,92,6.64
120,Dikson,RU,1547940175,8.7,73.51,80.55,100,64,9.1
121,Kochubey,RU,1547940869,26.12,44.39,46.54,83,32,5.53
123,Caravelas,BR,1547940873,81.06,-17.73,-39.27,100,0,17.83
124,Atuona,PF,1547940189,78.9,-9.8,-139.03,100,92,16.6
125,Westport,IE,1547940878,40.7,53.8,-9.52,100,44,3.4
126,Kruisfontein,ZA,1547940880,59.87,-34,24.73,89,0,7.2
128,Verkhnyaya Toyma,RU,1547940885,13.7,62.24,45,85,64,3.18
129,Suba,CN,1547940887,34.98,28.73,103.51,97,88,2.17
130,Trairi,BR,1547940666,80.12,-3.28,-39.27,100,64,7.2
131,Saint-Augustin,FR,1547938800,42.8,44.83,-0.61,100,75,6.93
132,Jiayuguan,CN,1547940894,4.74,39.77,98.29,74,68,2.62
133,Kamyshevatskaya,RU,1547940896,27.29,46.41,37.96,100,20,14.14
134,San Carlos de Bariloche,AR,1547938800,80.6,-41.13,-71.31,22,0,19.46
135,Ixtapa,MX,1547937840,78.8,20.71,-105.21,78,40,11.41
136,Thompson,CA,1547938800,-25.61,55.74,-97.86,67,5,4.7
137,Chapais,CA,1547938800,-29.21,49.78,-74.86,73,1,2.24
138,Havelock,US,1547940360,55.4,34.88,-76.9,100,90,4.7
139,Dongsheng,CN,1547940910,34.4,29.72,112.52,92,56,9.22
140,Port-Gentil,GA,1547938800,80.6,-0.72,8.78,88,20,6.93
141,Kloulklubed,PW,1547938200,82.4,7.04,134.26,83,75,10.29
142,Lichinga,MZ,1547940916,66.84,-13.3,35.25,89,76,2.73
143,Manokwari,ID,1547940919,82.23,-0.87,134.08,99,12,4.97
145,Katsuura,JP,1547938800,42.8,33.93,134.5,81,75,5.82
146,Arraial do Cabo,BR,1547940925,79.67,-22.97,-42.02,87,36,21.07
148,Rorvik,NO,1547940930,34.49,64.86,11.24,100,88,15.7
149,Longyearbyen,NO,1547938200,-4.01,78.22,15.63,76,20,8.05
150,Mahebourg,MU,1547938800,77,-20.41,57.7,94,75,3.36
151,Hamilton,BM,1547938500,62.6,32.3,-64.78,77,75,2.24
152,Constitucion,MX,1547937720,62.6,23.99,-104.67,20,40,9.17
153,Sivani,IN,1547940941,41.55,22.09,79.55,75,0,2.73
154,Port Elizabeth,US,1547938560,42.98,39.31,-74.98,79,90,8.05
155,Taywarah,AF,1547940945,30.3,33.35,64.42,85,88,6.64
156,Zasheyek,RU,1547940948,-3.41,67.41,32.55,74,48,2.17
157,Smithers,CA,1547938800,30.2,54.78,-127.17,86,75,4.7
158,Gagra,GE,1547938800,42.8,43.29,40.27,70,90,8.95
159,Savannah Bight,HN,1547938800,80.6,16.45,-85.85,74,20,3.36
160,Santa Maria,BR,1547935200,68,-29.69,-53.81,100,90,4.7
161,Saskylakh,RU,1547940959,-23.07,71.97,114.09,67,68,12.46
162,Torbay,CA,1547938800,23,47.66,-52.73,73,5,10.29
163,Aklavik,CA,1547938800,-4.01,68.22,-135.01,76,90,3.36
164,Katobu,ID,1547940966,81.51,-4.94,122.53,100,80,3.18
165,Provideniya,RU,1547940968,14.69,64.42,-173.23,100,76,3.18
166,Jiehu,CN,1547940970,16.94,35.54,118.45,66,0,4.74
167,Pastavy,BY,1547940973,24.63,55.11,26.84,89,80,19.17
168,Chifeng,CN,1547940975,4.56,42.27,118.96,32,0,5.19
169,Qaanaaq,GL,1547940977,-25.91,77.48,-69.36,100,0,10.45
172,Keningau,MY,1547938800,77,5.33,116.16,88,75,2.24
173,Fortuna,ES,1547938800,48.2,38.18,-1.13,87,75,2.24
174,Kulhudhuffushi,MV,1547940988,79.35,6.62,73.07,100,0,3.18
175,Bahia Blanca,AR,1547940945,81.42,-38.72,-62.27,43,0,13.69
176,Salalah,OM,1547938200,75.2,17.01,54.1,50,0,12.75
177,Athabasca,CA,1547940774,4.11,54.72,-113.29,83,88,11.23
179,Severo-Kurilsk,RU,1547940999,32.42,50.68,156.12,98,80,21.3
180,Nelson Bay,AU,1547938920,71.6,-32.72,152.14,94,90,13.87
181,Payette,US,1547939700,42.8,44.08,-116.93,85,90,3.36
183,Carutapera,BR,1547941008,77.87,-1.2,-46.02,93,48,5.97
185,Zwedru,LR,1547941012,70.62,6.07,-8.13,98,68,3.96
186,Victoria,BN,1547938800,78.8,5.28,115.24,94,75,10.78
187,Srednekolymsk,RU,1547941017,-39.09,67.46,153.71,83,0,2.39
188,Haines Junction,CA,1547941019,-8.22,60.75,-137.51,84,36,2.39
189,Biala Podlaska,PL,1547941021,21.35,52.03,23.12,83,76,5.53
191,Sokol,RU,1547941026,10.14,59.46,40.11,80,44,10.45
192,Chernyshevskiy,RU,1547941028,-0.17,63.01,112.47,83,68,3.96
193,Port Lincoln,AU,1547941030,70.94,-34.72,135.86,79,20,10.67
194,Kaeo,NZ,1547941033,78.54,-35.1,173.78,63,48,10.78
195,Yeppoon,AU,1547938800,80.6,-23.13,150.74,65,90,11.41
196,Caxias,BR,1547938800,78.8,-4.87,-43.35,88,90,4.7
197,Awbari,LY,1547941039,56.27,26.59,12.77,66,44,8.77
198,Suining,CN,1547941041,36.92,30.51,105.57,90,76,2.73
199,Acapulco,MX,1547938080,82.4,16.86,-99.88,74,90,4.7
200,Moose Factory,CA,1547938800,-22.01,51.26,-80.61,74,1,2.51
201,Hun,BE,1547940000,30.2,50.34,4.87,74,0,4.7
202,Mumbwa,ZM,1547941050,63.96,-14.99,27.06,91,36,5.08
204,Lumeje,AO,1547941055,66.48,-11.56,20.78,95,80,6.2
205,Tagusao,PH,1547941057,78.05,9.19,117.81,91,12,9.22
206,Tecpan,GT,1547938800,71.6,14.76,-90.99,64,20,11.41
207,Makakilo City,US,1547938620,82.04,21.35,-158.09,54,40,9.17
208,Barrow,AR,1547941064,72.29,-38.31,-60.23,51,0,14.25
209,Mar del Plata,AR,1547941066,83.27,-46.43,-67.52,24,0,20.29
210,Lorengau,PG,1547941068,80.3,-2.02,147.27,100,92,12.57
211,Ancona,US,1547939700,25.52,41.04,-88.87,77,90,14.99
212,Kajaani,FI,1547940000,-7.61,64.22,27.73,76,75,2.24
213,Doka,SD,1547941075,64.19,13.52,35.76,43,0,8.99
214,Cairns,AU,1547938800,77,-16.92,145.77,88,75,10.29
215,Grindavik,IS,1547938800,32,63.84,-22.43,92,40,8.05
216,Hami,CN,1547941082,14.82,42.84,93.51,73,68,1.61
217,Dwarka,IN,1547938800,51.8,28.58,77.04,81,40,2.51
218,Kamaishi,JP,1547938800,32,39.28,141.86,76,75,1.12
219,Kununurra,AU,1547938920,87.8,-15.77,128.74,74,0,2.24
220,Ishigaki,JP,1547938800,68,24.34,124.16,88,75,3.36
221,Ilulissat,GL,1547938200,6.8,69.22,-51.1,77,80,16.11
223,Blind River,CA,1547940900,-4.01,46.19,-82.96,66,1,6.64
224,Grodzisk Wielkopolski,PL,1547940600,17.6,52.23,16.36,92,0,1.12
225,Hay River,CA,1547939340,3.2,60.82,-115.79,65,90,10.29
226,Hithadhoo,MV,1547941104,79.35,-0.6,73.08,100,80,5.64
227,Mayo,CA,1547938800,-0.41,63.59,-135.9,84,90,2.62
228,Nagyhalasz,HU,1547941109,27.65,48.13,21.77,92,92,5.97
229,Aasiaat,GL,1547941111,13.52,68.71,-52.87,100,76,13.13
230,Norman Wells,CA,1547938800,-0.41,65.28,-126.83,64,75,11.41
231,Iqaluit,CA,1547938800,-20.21,63.75,-68.52,68,75,9.17
232,Poum,MK,1547941118,34.08,41.28,20.71,100,100,2.17
234,Ulaangom,MN,1547941122,-21.81,49.98,92.07,26,8,1.72
235,Tuktoyaktuk,CA,1547938800,1.4,69.44,-133.03,77,90,12.75
236,Luderitz,NA,1547941127,64.5,-26.65,15.16,53,0,21.3
237,Avera,US,1547939700,69.98,33.19,-82.53,48,75,13.87
239,Vilhena,BR,1547935200,77,-12.74,-60.15,83,0,10.29
240,Aykhal,RU,1547941136,-13.71,65.95,111.51,58,80,4.07
242,Kavaratti,IN,1547941140,81.2,10.57,72.64,100,0,3.4
243,Burnie,AU,1547941142,65.67,-41.05,145.91,93,0,16.15
244,Marfino,RU,1547938800,17.6,56.07,37.56,92,0,6.71
245,Araouane,ML,1547941147,48.8,18.9,-3.53,29,0,9.22
246,Altay,CN,1547941149,-14.43,47.83,88.13,36,0,2.51
247,Somma Lombardo,IT,1547940000,33.8,45.68,8.71,92,32,6.93
248,Saurimo,AO,1547941153,66.62,-9.66,20.4,92,92,2.62
249,Vila do Maio,CV,1547938800,69.8,15.13,-23.22,64,75,17.22
250,Jaisalmer,IN,1547941158,50.1,26.91,70.91,93,36,3.51
251,Harper,US,1547940900,57.02,30.3,-99.24,31,1,19.46
252,Carnarvon,ZA,1547941127,52.62,-30.97,22.13,38,0,12.46
253,Karratha,AU,1547941164,87.77,-20.74,116.85,47,0,5.19
254,Leningradskiy,RU,1547941167,-8.13,69.38,178.42,97,24,19.17
255,Baiyin,CN,1547938800,15.8,36.55,104.13,85,75,2.24
256,Nalut,LY,1547941171,36.51,31.86,10.98,81,0,4.52
257,Alice Springs,AU,1547938800,93.2,-23.7,133.88,24,0,10.29
259,Misratah,LY,1547941178,49.7,32.38,15.09,100,0,4.07
261,Shaowu,CN,1547941183,46.59,27.34,117.49,99,92,2.51
262,Dunedin,NZ,1547940981,63.24,-45.87,170.5,55,0,19.73
263,Te Anau,NZ,1547941187,52.71,-45.41,167.72,81,80,16.49
265,Sangar,RU,1547941191,-30.63,63.92,127.47,50,68,9.66
266,Moses Lake,US,1547939220,41,47.13,-119.28,88,40,3.36
268,Teguise,ES,1547938800,64.4,29.06,-13.56,63,75,6.93
269,Beloha,MG,1547941200,75.44,-25.17,45.06,89,32,3.06
270,La Rioja,AR,1547941202,75.75,-29.41,-66.86,56,64,7.43
271,Progreso,UY,1547938800,68,-34.68,-56.22,68,20,12.75
272,Morros,BR,1547938800,77,-2.87,-44.04,100,20,2.24
273,La Ronge,CA,1547938800,-23.81,55.1,-105.3,74,40,6.93
274,Tuatapere,NZ,1547941174,56.09,-46.13,167.69,100,92,25.77
275,Saint Anthony,US,1547938740,33.08,43.97,-111.68,91,90,6.93
276,Lavrentiya,RU,1547941163,1.68,65.58,-170.99,100,56,8.55
277,Nyurba,RU,1547941218,-14.07,63.29,118.35,63,80,2.62
278,Cherskiy,RU,1547941220,-29.91,68.75,161.3,50,24,4.41
279,Panevezys,LT,1547938200,32,55.73,24.35,92,90,16.11
280,Grand Gaube,MU,1547938800,77,-20.01,57.66,94,75,3.36
282,Sambava,MG,1547941229,75.44,-14.27,50.17,100,100,15.48
283,Comodoro Rivadavia,AR,1547938800,91.4,-45.87,-67.48,16,0,21.92
284,Akcakoca,TR,1547941234,29.99,41.09,31.12,92,32,3.18
285,Zeya,RU,1547941236,-22.98,53.74,127.27,64,0,2.06
286,Sturgeon Bay,US,1547939700,9.68,44.83,-87.38,72,1,9.17
287,Codrington,AU,1547938800,84.2,-28.95,153.24,61,75,5.82
288,Rio Tercero,AR,1547941243,65.45,-32.17,-64.11,61,0,11.79
291,Maureni,RO,1547940600,39.2,45.4,21.5,60,75,17.22
292,Laguna,MX,1547938980,82.4,27.52,-110.01,28,5,13.87
293,Opuwo,NA,1547941254,65.04,-18.06,13.84,55,20,3.96
294,Souillac,FR,1547938800,44.6,45.6,-0.6,93,90,3.4
295,Leshukonskoye,RU,1547941258,9.24,64.9,45.76,83,76,3.96
296,Petropavlovsk-Kamchatskiy,RU,1547938800,33.8,53.05,158.65,86,90,6.71
297,Sterling,US,1547940480,39.02,39,-77.4,100,90,6.93
298,Vila Velha,BR,1547938800,78.8,-3.71,-38.6,94,40,5.82
299,Tocopilla,CL,1547941267,69,-22.09,-70.2,82,8,6.08
300,Puerto Madryn,AR,1547941269,79.62,-42.77,-65.04,39,0,22.53
301,Ponta do Sol,BR,1547941170,71.07,-20.63,-46,86,36,2.95
302,Toora-Khem,RU,1547941191,-16.19,52.47,96.11,41,32,2.17
303,Kathu,ZA,1547941276,61.98,-27.7,23.05,14,0,15.14
304,Hofn,IS,1547941278,39.12,64.25,-15.21,100,8,23.87
305,Khandbari,NP,1547941280,16.44,27.38,87.21,38,0,1.61
306,Eureka,US,1547938920,59,40.8,-124.16,96,90,3.36
307,Nueva Imperial,CL,1547938800,62.6,-38.75,-72.95,72,0,10.29
308,Tasiilaq,GL,1547938200,24.8,65.61,-37.64,73,8,1.12
309,Vegreville,CA,1547941226,6.18,53.5,-112.05,83,92,9.44
310,Coahuayana,MX,1547941292,78.09,18.62,-100.35,35,56,2.06
311,Geraldton,CA,1547938800,-16.61,49.72,-86.95,62,20,3.36
312,Bar Harbor,US,1547938560,12.92,44.39,-68.2,50,90,9.17
313,Rota,ES,1547938800,59,36.62,-6.36,93,75,12.75
314,Margate,AU,1547938800,71.6,-43.03,147.26,43,75,10.29
315,Vila Franca do Campo,PT,1547938800,57.2,37.72,-25.43,76,20,6.93
316,Nhulunbuy,AU,1547938800,82.4,-12.18,136.78,88,75,10.29
317,Shimanovsk,RU,1547941308,-12.59,52,127.67,77,24,5.08
318,Madang,PG,1547941311,74.27,-5.21,145.81,100,92,4.97
319,Teknaf,BD,1547941313,55.5,20.86,92.31,91,0,4.52
320,Empangeni,ZA,1547941315,66.8,-28.75,31.9,98,92,15.14
321,Nome,US,1547939700,46.94,30.04,-94.42,56,40,16.11
322,Coronado,PA,1547938800,84.2,8.53,-79.9,62,20,13.87
324,Ust-Nera,RU,1547941270,-61.05,64.57,143.24,0,8,1.95
325,Isangel,VU,1547941326,78.18,-19.55,169.27,100,92,17.6
326,Banda Aceh,ID,1547941328,74.94,5.56,95.32,98,24,4.97
327,Banjar,ID,1547941331,74.49,-7.37,108.54,95,48,2.39
328,Marquette,US,1547938560,8.6,46.54,-87.4,78,90,8.05
329,Huarmey,PE,1547941228,70.85,-10.07,-78.15,71,36,3.62
330,Cullman,US,1547940120,57.92,34.17,-86.84,83,90,8.05
331,Manaus,BR,1547938800,75.2,-3.13,-59.98,94,75,4.7
332,Matagami,NG,1547941341,60.5,9.67,8.4,69,0,0.38
334,Santa Isabel do Rio Negro,BR,1547941346,75.8,-0.41,-65.02,97,32,1.5
335,Shelburne,CA,1547939160,6.8,44.08,-80.2,77,90,6.93
336,Ecoporanga,BR,1547941350,80.97,-18.37,-40.83,53,0,13.24
337,Hasaki,JP,1547940600,35.6,35.73,140.83,64,75,3.36
338,Clyde River,CA,1547938800,-22.01,70.47,-68.59,74,40,2.24
339,Revelstoke,CA,1547938800,37.4,50.99,-118.19,86,75,2.24
340,Pitimbu,BR,1547938800,78.8,-7.47,-34.81,83,0,9.17
341,Sitka,US,1547941361,26.16,37.17,-99.65,64,0,7.2
342,Tyrma,RU,1547941364,-11.1,50.04,132.17,70,44,2.95
343,Mareeba,AU,1547938800,77,-16.99,145.42,88,75,10.29
345,Shingu,JP,1547938800,53.6,33.72,135.99,71,75,3.36
346,Faanui,PF,1547941372,83.13,-16.48,-151.75,100,24,12.57
347,Rosetta,EG,1547938800,53.6,31.4,30.42,81,0,5.08
348,The Valley,AI,1547938800,77,18.22,-63.06,69,20,8.05
349,Pendleton,US,1547940120,57.02,34.65,-82.78,100,90,5.82
350,Santa Ines,EC,1547938800,57.2,-0.82,-78.63,71,75,14.99
351,Bom Jardim,BR,1547941384,77.01,-7.8,-35.59,82,88,5.97
352,Fairbanks,US,1547940360,1.04,64.84,-147.72,84,90,3.18
353,Ternate,PH,1547938800,78.8,14.29,120.72,74,40,2.24
354,Ozernovskiy,RU,1547941391,29.58,51.5,156.52,95,76,11.45
355,Khovu-Aksy,RU,1547941393,-22.53,51.13,93.72,57,48,2.39
356,Waterloo,CA,1547939940,8.6,43.47,-80.52,77,90,13.87
357,Porosozero,RU,1547941398,9.06,62.72,32.71,83,24,2.62
360,Prince Albert,CA,1547938800,-13.01,53.2,-105.75,69,90,13.87
361,Doha,QA,1547940600,57.2,25.29,51.53,54,0,9.17
362,Ostrovnoy,RU,1547941409,-12,68.05,39.51,75,8,2.73
363,Kastamonu,TR,1547936940,23,41.38,33.78,100,8,4.52
364,San Ramon,NI,1547941413,67.38,12.92,-85.84,80,0,1.72
365,Kuytun,RU,1547941416,12.21,54.34,101.51,65,24,5.75
366,Sattahip,TH,1547938800,73.4,12.67,100.9,83,20,2.24
367,Karuzi,BI,1547941420,58.47,-3.1,30.16,98,80,3.18
368,Yaan,NG,1547941422,74.94,7.38,8.57,46,0,7.2
369,Svetlogorsk,RU,1547938800,17.6,53.14,59.15,85,75,6.71
370,Meulaboh,ID,1547941427,76.47,4.14,96.13,100,68,5.08
371,Sicamous,CA,1547938800,37.4,50.84,-118.99,86,75,2.24
372,Arman,RU,1547941190,-7.32,59.7,150.17,58,92,4.63
373,Qaqortoq,GL,1547938200,17.6,60.72,-46.03,85,32,12.68
374,Kharp,RU,1547941436,-16.05,66.82,65.8,47,0,2.95
375,Abiramam,IN,1547938800,69.8,9.44,78.44,73,40,8.77
376,Honningsvag,NO,1547941440,18.15,70.98,25.97,100,0,9.22
377,Caluquembe,AO,1547941442,55.37,-13.78,14.68,81,32,2.51
378,Berlevag,NO,1547941445,17.07,70.86,29.09,100,44,10.45
380,Sao Filipe,CV,1547941231,71.7,14.9,-24.5,95,8,16.82
381,Brebeni,RO,1547938800,32,44.36,24.45,92,90,13.87
382,Goderich,CA,1547941392,10.37,43.74,-81.71,99,44,15.59
383,Buluang,PH,1547938800,78.8,10.47,123.98,78,90,6.93
384,Verkhoyansk,RU,1547941458,-55.02,67.55,133.39,0,36,2.51
385,San Patricio,PY,1547941460,73.77,-26.98,-56.83,74,88,6.76
386,Pisco,PE,1547938800,71.6,-13.71,-76.2,30,0,13.87
387,Kokopo,PG,1547941464,77.46,-4.34,152.27,100,92,11.45
388,Galle,US,1547938560,59,29.74,-97.91,28,1,17.22
389,Kaitong,CN,1547941469,3.75,44.81,123.15,54,12,11.79
390,Nanortalik,GL,1547941471,25.98,60.14,-45.24,94,24,8.43
391,Corn Island,NI,1547941192,80.88,12.17,-83.04,97,0,10.67
392,San Quintin,PH,1547941476,67.52,17.54,120.52,81,0,3.06
393,Hervey Bay,AU,1547938800,82.4,-25.3,152.85,61,75,16.11
394,Tessalit,ML,1547941480,46.5,20.2,1.01,22,0,9.44
395,Launceston,AU,1547938800,68,-41.43,147.14,52,0,9.17
396,Chuy,UY,1547941484,66.3,-33.69,-53.46,81,48,13.47
397,Taltal,CL,1547941301,65.76,-25.41,-70.49,77,32,2.17
398,Auki,NG,1547941489,66.03,12.18,6.51,40,12,4.52
399,Waipawa,NZ,1547941491,70.17,-39.94,176.59,57,0,18.72
400,Saint-Georges,CA,1547941494,-1.47,46.12,-70.67,45,76,2.95
401,Kamphaeng Phet,TH,1547941293,71.61,16.47,99.53,84,88,4.52
402,Sao Joao da Barra,BR,1547941498,81.2,-21.64,-41.05,96,12,28.57
403,Cassilandia,BR,1547941500,71.97,-19.11,-51.73,86,44,10.11
404,Nuuk,GL,1547938200,19.4,64.17,-51.74,92,80,14.99
405,Mizdah,LY,1547941505,30.44,31.45,12.98,76,0,2.73
406,Ranong,TH,1547938800,75.2,9.96,98.62,88,40,5.41
408,Omsukchan,RU,1547941511,-30.9,62.53,155.8,47,76,3.51
409,Richards Bay,ZA,1547941514,66.8,-28.77,32.06,98,92,15.14
410,Maua,KE,1547941516,53.07,0.23,37.94,76,0,2.39
411,Palafrugell,ES,1547938800,37.4,41.92,3.16,100,0,4.7
412,Coquimbo,CL,1547938800,64.4,-29.95,-71.34,72,20,11.41
413,Malindi,KE,1547941522,78.9,-3.22,40.12,91,0,12.46
414,Tres Passos,BR,1547941525,71.16,-27.46,-53.93,88,12,7.09
415,Casalmaggiore,IT,1547940000,33.8,44.99,10.42,100,75,3.36
417,Kysyl-Syr,RU,1547941531,-27.75,63.9,122.77,43,76,10.67
418,Mehriz,IR,1547938800,30.2,31.58,54.44,86,0,2.24
419,Langsa,ID,1547941536,69.05,4.47,97.97,89,20,2.62
